"Requisito","Lo que tenemos","Fuente exacta","Estado","Trabajo afectado","Siguiente acción mínima"
"Pausas/exclusiones de ejecución","El mes excluido de 3-1-3 no autoriza ni prohíbe automáticamente ejecución; no hay reglas de pausa reales.","SPEC §5.3 línea 389; D08 p.4; IMP-02 campaign-contract.json calendar.pauseExclusion","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; P5 episode; P6 replay","Obtener reglas operativas de pausa/exclusión del mandato."
"Ventanas del benchmark","Monthly 1-0-1=[S-1 mes,S); Quarterly 3-1-3=[Q-4 meses,Q-1 mes); inicio incluido, final excluido.","SPEC §5.3 líneas 363-389; documentation/eex-reference-price.md líneas 74-98","DISPONIBLE Y RESPALDADO.","IMP-05; cálculo B","Implementar/aplicar con calendario por trading date y coverage visible; no tratarlas como calendario de ejecución."
"Relación Monthly/Quarterly","No se sabe si son obligaciones adicionales, solapadas o alternativas.","D08 p.4; D15 p.2; Master Plan Open Points p.3; SPEC §24 DEP-02 línea 2032; IMP-02 coverage-ownership.json","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; ownership; no double count","Obtener relación por obligación en el paquete de mandato."
"Asignación de coberturas/fills a obligaciones","No hay obligation set ni fill ledger del cliente; sólo invariante de no doble ownership.","SPEC §4.3 líneas 273-289; IMP-02 coverage-ownership.json","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; P6 coverage ledger","Obtener historial/asignación si existe y materializar ownership determinista."
"Volumen ejecutado y restante","No computable sin campaña y fills; Opening=Executed+Remaining está definido.","SPEC §4.3 líneas 277-289; IMP-02 audit-report.md §4","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; IMP-12; closure de campaña","Calcular sólo al vincular obligación real y fills; no inferir de trades EEX."
"Regla terminal del residual","La conducta sin regla está definida como COVERAGE_INCOMPLETE; no se encontró la regla real.","SPEC §4.3 línea 289; §14.5; IMP-02 campaign-contract.json","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-02; P6 closure; validez económica","Obtener regla terminal del contrato o conservar explícitamente COVERAGE_INCOMPLETE."
"Lotes, redondeo y restricciones","Contrato conceptual y paridad A0/A1 definidos; valores reales ausentes.","SPEC §4.1 línea 254; §13.6; §14.4; Master Plan P5 p.8","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","DEP-05; IMP-07/10/12","Obtener especificación por producto y versionarla antes del run real."
"Fills, partial fills y no-fill","Semántica e invariantes definidas; no hay reglas ni mediciones reales del cliente.","SPEC §§4.2-4.3, §14.3-14.5; Master Plan P6 pp.5-7","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-07/12; H y coverage","Obtener contrato de ejecución; usar fixtures sólo como tests, no como evidencia real."
"Fees, spread/slippage y latencia","La SPEC exige contabilizarlos una vez y con paridad; no hay valores ni mediciones auditadas.","SPEC §4.1 línea 255; §13.6; §24 DEP-05; IMP-02 audit-report.md","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-07; P5.6; P6; validez económica","Obtener schedule/mediciones; no usar cero por defecto."
"Existencia del lago EEX","59.961 Parquet y 93 GB según logs; trade y top-of-book para NATGAS/THE y POWER/DE verificados mediante metadata acotada.","/srv/hot-data/EEX/_logs/parquet-files.count; /srv/hot-data/EEX/_logs/final-size.txt; /srv/colibri/reports/eex-import-20260803T231020Z.md; cuatro raíces table=.../cmdty=.../area=...","DISPONIBLE Y RESPALDADO.","Corrección de alcance IMP-03; IMP-04/05/06","Ampliar inventario factual sin copiar el lago y sin confundirlo con campañas del cliente."
"Cobertura histórica de trades THE/DE","Particiones verificadas desde 2020-11-02 a 2026-07-28: THE 2.801 files; POWER/DE 4.802 files. No se certificó completitud por instrumento/campaña.","/srv/hot-data/EEX/table=eex_derivative_trade/cmdty=NATGAS/area=THE; /srv/hot-data/EEX/table=eex_derivative_trade/cmdty=POWER/area=DE; metadata 2026-09-22","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-03; IMP-09; A0/A1","Producir coverage matrix por ShortCode, maturity, ISIN y fecha; medir missingness/revisiones."
"Cobertura histórica top-of-book THE/DE","Particiones verificadas desde 2025-07-25 a 2026-07-28: THE 9.251 files; POWER/DE 33.453 files; no cubre todo 2020-2026.","/srv/hot-data/EEX/table=eex_derivative_top_of_book/cmdty=NATGAS/area=THE; /srv/hot-data/EEX/table=eex_derivative_top_of_book/cmdty=POWER/area=DE; metadata 2026-09-22","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-03/05; referencia proxy; ejecución","Medir cobertura por contrato/fecha y documentar periodos sin libro."
"Identificadores de contratos de mercado","Schemas contienen ShortCode, Maturity, ProductISIN e InstrumentISIN; mapping existente DEBM/DEBQ/G0BM/G0BQ.","Muestras de schema Parquet en las cuatro raíces EEX; generate_eex_snapshot.py líneas 21-35","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-04/05; enlace campaña-datos","Reconciliar contra contract master autorizado y mandato; no elegir silenciosamente."
"Metadata temporal","Existen Tm, TrdDate y _retrieved_at_utc, además de hashes/pull IDs. No se observó timestamp de publicación/policy-consumable original para todo el histórico.","Schemas Parquet EEX; SPEC §6.1; IMP-03 temporal-manifest.json","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-03/06; PIT; decision view","Construir manifest por serie separando evento, publicación, consumo y revisión; retrieval sólo prueba disponibilidad no anterior al retrieval."
"Missingness, duplicados y revisiones","Row/response hashes, pull IDs y UpdtAct permiten auditar parte de la lineage; auditoría previa encontró variantes y duplicados. Falta matriz completa por serie.","Schemas EEX; auditoría EEX 2026-09-14; generate_eex_snapshot.py líneas 87-103","A PRODUCIR POR NUESTRA INVESTIGACIÓN.","IMP-03/04/06; causalidad y coverage","Producir reglas/versiones y métricas por exact row identity; no deduplicar sólo por timestamp o TrdID."
"Calendario por trading date y DST","La metodología exige CE(S)T y el lago tiene timestamps; no hay calendario contractual/holiday completo validado ni manifest DST por campaña.","documentation/eex-reference-price.md líneas 8-16, 74-98; SPEC §5.3 y §6","A PRODUCIR POR NUESTRA INVESTIGACIÓN.","IMP-03/05; benchmark y replay","Validar Europe/Berlin-UTC, festivos/trading dates y casos DST sobre muestras acotadas."
"Metodología del benchmark","Tres valores separados; ventanas, proxy, fallback, prioridad official-over-derived, promedio por fecha y reconciliación están documentados.","documentation/eex-reference-price.md líneas 1-126; SPEC §5 líneas 295-512","DISPONIBLE Y RESPALDADO.","IMP-05; P6 evaluation","Conservar provenance y estados; verificar vigencia/fuente aplicable antes de evidencia final."
"Implementación del benchmark","Existe benchmark.mjs y receipt IMP-08 aceptado para semántica/fixtures sintéticos; no es aplicación real. Program.fs y HighResolutionProcurementModel.fs citados históricamente no se localizaron.","/srv/hot-data/energy-markets/app/src/economic-calculation/benchmark.mjs; operations/receipts/IMP-08-IMP_RECEIPT.json acceptedAtUtc 2026-09-22T14:51:50.686Z; búsqueda dirigida 2026-09-22","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-05/08/12; benchmark real","Aplicar a fuentes/campañas auditadas y producir reconciliation receipt; no confundir tests con benchmark verificado."
"Fuente oficial de settlement y guard 0.01","Metodología y riesgo del guard están documentados; no se encontró tabla oficial en el inventario EEX ni feed autorizado/reconciliación actual.","documentation/eex-reference-price.md líneas 75-126; SPEC §5.4; auditoría EEX previa","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","DEP-08/09; IMP-05","Obtener fuente oficial autorizada, verificar revisiones y ejecutar reconciliación, incluido caso 0.01."
"Referencia proxy de un día","Auditoría previa reprodujo G0BQ maturity 202604 para 2025-12-01: 28,4468058192 EUR/MWh; provisional, no settlement/fill/benchmark completo.","/Users/brunillo/.codex/memories/rollout_summaries/2026-09-14T14-43-22-yxW3-brunode_eex_quarterly_gas_read_only_audit.md; paths EEX exactos citados allí","DISPONIBLE Y RESPALDADO.","Prueba de usabilidad del proxy; IMP-05","Reutilizar el procedimiento; ampliar sólo bajo campaña/calendario auditados y reconciliar con oficial."
"Permisos, licencia y entitlements","El data lake es legible y D16 menciona REST entitled/HTTP 403 histórico, pero no se encontró grant/licencia/entitlement vigente.","IMP-03 data-sufficiency-matrix.json R-12; documentation/eex-reference-price.md líneas 99-108; inventario energy-markets","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","DEP-06/10; cualquier uso real o publicación","Obtener confirmación escrita del derecho de uso para cada fuente/endpoint requerido."
"Herramientas de lectura existentes","BruNode tiene PyArrow/DuckDB en el venv del explorador y script generate_eex_snapshot.py; lee el lago y genera velas 4H. No es por sí solo el benchmark de campaña.","/home/op/apps/power-markets-explorer/.venv-data; /home/op/apps/power-markets-explorer/scripts/generate_eex_snapshot.py líneas 1-134","DISPONIBLE Y RESPALDADO.","IMP-03/04/05; análisis acotado","Reutilizar tooling sin instalaciones ni descargas; mantener separación entre visualización, proxy y benchmark."
"Disponibilidad histórica point-in-time","Event time y retrieval time existen; para filas capturadas después del evento, no se demuestra publicación/consumo contemporáneo. Eso no prueba leakage ni inutilidad automática.","Schemas EEX; SPEC §6.1; auditoría EEX previa; IMP-03 temporal-manifest.json","PRESENTE, PENDIENTE DE VALIDAR O RECONCILIAR.","IMP-03/06/09/11/12; validez causal","Etiquetar cada pretensión: observable por evento, disponible desde retrieval, o PIT no demostrado; buscar evidencia contemporánea sólo donde sea crítica."
"Lista de ocho campañas Gas Quarterly elegibles","La SPEC exige las últimas ocho completas en al menos dos años; no hay dataset de campañas elegibles vinculado al cliente.","SPEC §13.8 y §24 DEP-12; Master Plan P5 p.10; IMP-03 R-17","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","IMP-09; OOS; IMP-16","Obtener campaign register; después producir eligibility manifest sin seleccionar por outcome."
"Resultado económico A0 frente a A1","No existe run económico verificable. IMP-08 es evidencia sintética; A0/A1 siguen DATA_BLOCKED para inputs reales.","IMP-03-IMP_RECEIPT.json candidateReadiness; IMP-08-IMP_RECEIPT.json unresolvedLimits; SPEC §§13-14","A PRODUCIR POR NUESTRA INVESTIGACIÓN.","IMP-16; P5/P6","Esperar bundle real auditado; congelar configuración y ejecutar sólo entonces."
"Autorización operativa/Real","No la concede ningún documento o receipt inspeccionado.","SPEC §§16-18, §25 IMP-24; IMP-08 receipt unresolvedLimits","NO ENCONTRADO EN EL ALCANCE INSPECCIONADO.","Shadow/Real; compras","Mantener separada de implementación/research; requiere governance y aprobación humana específica."
